date,close,high,low,open,volume,MACD,RSI,CCI,DX,Turbulence
2018-03-16,35.702938079833984,36.17093940621618,35.671211484242754,35.95677202588657,56129000,0.7178642488760474,59.66403067297518,45.635537200934316,14.510039224348775,184.60716867518613
2018-03-19,35.1159553527832,35.55222705942368,34.82246391753827,35.36978627395232,26734100,0.6317676030707986,53.25888446801823,-49.419045158010135,2.921183176217488,142.62334671575348
2018-03-20,35.19527053833008,35.40944090986995,35.04455939949955,35.29045938739409,22809700,0.5634404725482511,53.97783532638676,-36.075342277657256,2.9211831762174922,128.85257762854698
2018-03-21,35.147682189941406,35.61568348112792,35.00490192985718,35.09215686945343,22528200,0.49969062485943283,53.446645731878505,-35.021932529204484,1.3124739397485927,153.13193421577697
2018-03-22,34.1640739440918,34.91763550763895,34.124413446200265,34.711396077159755,29520800,0.36558520748720724,43.84291947033875,-156.7354517514753,14.800571814432239,70.44356806300414
2018-03-23,33.64849090576172,34.77486822530956,33.64849090576172,34.67174847172557,31759200,0.21522151608962048,39.80533395162693,-173.79167161544206,22.019884787938103,60.472426480945806
2018-03-26,34.94938278198242,35.028703817859444,33.973719516358024,34.30687149812577,29731900,0.1987373888402857,51.85335153383712,-82.37084284642468,16.356814643105267,103.19708894718455
2018-03-27,33.85472869873047,35.314257881628144,33.505711968914746,35.29046218043023,30942000,0.09623482792865445,43.89236408236694,-116.84461276149281,23.41436030312278,187.70615244157116
2018-03-28,33.0456428527832,33.98164546425312,33.013913232688566,33.71988063732706,36696800,-0.0497126001309951,39.11257334367439,-164.58846073870097,30.08984259029987,177.53863082326393
2018-03-29,34.02130126953125,34.053030885236055,32.98218207537186,33.267739539007,55021200,-0.08566204926755461,46.6563757511467,-108.21813992557868,28.34117160847857,170.68257508062143
2018-04-02,32.5300407409668,33.8150628698051,32.1492944521674,33.72780794459851,36791800,-0.2318123202512865,38.753063574078375,-145.9987206325451,38.69543272859072,192.99142757682844
2018-04-03,32.823543548583984,32.91872938872013,32.30001688898023,32.79181392657083,28003900,-0.3202624530895761,40.875850781012595,-132.9106145370442,38.695432728590724,166.10062209290933
2018-04-04,32.943477630615234,33.22333604540753,32.13588097610953,32.295801377517115,30117600,-0.37634388448928036,41.7640860747856,-109.67117132692925,30.686016242048474,140.72353540099698
2018-04-05,33.43922805786133,33.599148458924994,33.087405615703624,33.18335663625064,29331600,-0.37644646606783283,45.41452731299401,-56.53976759446377,21.373261721791998,129.95878377131234
2018-04-06,32.56766128540039,33.327280814396474,32.34377458009832,33.1033941090944,32208700,-0.4417635421326054,40.59653914520604,-92.28388181111033,31.73884483746906,122.97267650425519
2018-04-09,32.91948699951172,33.631132620547525,32.7035979692314,32.7435773063119,25725800,-0.45983767818436405,43.21540388463473,-56.60049690319673,24.515538581979936,110.28246269774733
2018-04-10,33.99094772338867,34.150868112617886,33.38325390459092,33.66311229807126,22724400,-0.3832853603294879,50.388649930323396,20.65054421451686,13.092987935466995,127.0495500100527
2018-04-11,33.92698669433594,34.3027992101603,33.79105327469019,33.91898899600067,21693000,-0.32404285309891634,49.98274051910443,53.55400528421031,9.91860204179971,117.65677637496177
2018-04-12,34.654624938964844,34.894504057693645,34.16686900242014,34.206848347170194,22297000,-0.2158897711889125,54.47562402658792,115.5852985714266,1.6585988500854056,99.64579784930072
2018-04-13,34.38275909423828,34.974463732379114,34.0949029486686,34.82253796097939,18272300,-0.15038147216422715,52.57537102465858,96.36205767127151,3.143211015025002,91.21712890807467
2018-04-16,34.622642517089844,34.89450634956611,34.40675038098558,34.47871442635366,15807900,-0.07820755774744725,54.09690431746837,113.55858675682313,3.1432110150250048,6.394996031875181
2018-04-17,35.65412521362305,35.78206095200095,34.950477127430304,35.06242051723239,21474600,0.06151373056746223,60.034482626742225,168.6461573175541,18.90374266005023,31.110827443615058
