date,open,high,low,close,volume,MACD,RSI,CCI,DX,Turbulence
2021-10-29,44.80336456217762,45.21843261203232,44.42820625761467,44.67565155029297,5894900,-0.45403801318247616,38.52952028088954,-148.4936532042852,35.27451286020384,11.936199855040465
2021-11-01,44.707581616454895,46.280050693377554,44.707581616454895,45.84901809692383,7562000,-0.438744307880782,46.20766484066432,-68.8070495627488,17.97333095011963,64.40183495070023
2021-11-02,46.00865593823237,46.886685559561634,45.68937493086405,46.67116928100586,5929500,-0.3561774151634367,50.84101631286618,-8.987369225941645,9.36568095339533,82.23476526936128
2021-11-03,46.68714210106163,47.56117694509396,46.3678579919243,47.13413619995117,6234300,-0.2504974183304185,53.281343988619426,39.357130231065476,0.5786848604625777,11.123873458508488
2021-11-04,47.09422749608788,47.10620011758629,45.33417905776619,45.63350677490234,9047900,-0.2845533587833131,45.41222345888976,-37.86481381941108,12.218742044310387,136.87408358677163
2021-11-05,45.68937942374997,46.89067901366565,45.68937942374997,46.54346084594727,4979100,-0.23540366134785273,50.213869042997906,-5.689066659335086,12.218742044310392,163.43699089351574
2021-11-08,47.03835071625254,47.63700611850087,46.53148743719441,46.75099563598633,4894100,-0.17765791900814776,51.26674269430714,47.47924649337151,2.1994489781637623,139.72125846807484
2021-11-09,46.72704961250128,47.19000819913664,46.61130920461274,46.92660140991211,4447800,-0.116382498810502,52.18811740834307,50.626507051491004,2.1994489781637685,107.96276153064306
2021-11-10,46.96650695679829,47.32570076897286,46.68713568339502,46.90264892578125,5103900,-0.06895913415542765,52.043581924195394,62.03079760017642,0.310952163822311,85.18727306429261
2021-11-11,47.158081761193706,47.876466397845526,47.11018823411608,47.63700485229492,4140400,0.02756288225240411,56.061395964731474,110.70846562672703,7.185870595726702,73.44195607072506
2021-11-12,47.72480278096102,48.3314388313648,47.46139297893256,47.9403190612793,3499400,0.12706744303504536,57.639988338325075,129.97951331841602,12.972033589546147,63.454609597479894
2021-11-15,48.291536783181314,48.54696284984595,47.71682661072643,47.828575134277344,3470400,0.19466474926590394,56.82992921452745,122.19945303345808,15.654496815919922,66.19221580462846
2021-11-16,47.86847408121199,47.88443858637432,46.96649933150759,46.98246383666992,4004700,0.17791114209614278,50.98688030945331,53.95129178289293,3.673759833636143,244.38048888696343
2021-11-17,46.838803929948526,47.07826550750025,46.43171650768335,46.567413330078125,3342400,0.12964817706868104,48.36019189036197,-6.0282385709699176,3.9623787651284346,191.67774156327312
