fiscalDateEnding,ticker,Current Ratio,Acid Test Ratio,Debt Ratio,Debt to Equity Ratio,Interest Coverage Ratio,Asset Turnover Ratio,Inventory Turnover Ratio,Day Sales in Inventory Ratio,Return on Ratio,Return on Equity Ratio,Quality Score
2008-12-31,BA,0.8395796281325788,0.39249797898140665,1.024061436620242,-42.56027820710974,-3.6724137931034484,0.2354822514364343,0.7325775044837305,498.2407974119087,0.0,-0.0,0.05
2008-09-30,BA,0.8289966623527008,0.4831414753763368,0.8458217590544772,5.485999540968557,11.70873786407767,0.2705815743378333,1.1200107632971568,325.8897253143269,0.0,0.0,0.14335324862124432
2008-06-30,BA,0.8248370170138337,0.5421211639370329,0.8531191249359084,5.808238305794741,21.52,0.2898991625363186,1.3686545096106457,266.6852718761253,0.0,0.0,0.17921211635158213
2008-03-31,BA,0.8627852903383711,0.6485345407819861,0.8498011928429423,5.657842488418266,35.67391304347826,0.2649105367793241,1.2350334777471446,295.53854739695447,0.0,0.0,0.18985345392966407
2007-12-31,BA,0.8649882681209969,0.6285750523178388,0.8473536093310277,5.551088405153266,15.5748031496063,0.29629064523785303,1.5209662239882882,239.97903059470607,0.0,0.0,0.1878575051032088
2007-09-30,BA,0.8626688696666343,0.762302782907312,0.8830744519685327,7.55245082734936,11.608333333333333,0.30147662766714733,1.6028801562118624,227.71509060453783,0.0,0.0,0.16871038769860902
2007-06-30,BA,0.847180270189531,0.6754738274637369,0.8913075752514568,8.200273177394571,20.602739726027398,0.316000445384701,1.5962264150943397,228.6643026004728,0.0,0.0,0.1935474103991101
2007-03-31,BA,0.7917971085863027,0.5338562735235147,0.8911668864923579,8.188379967920158,16.59493670886076,0.2980254480564823,1.4508333333333334,251.57955198161974,0.0,0.0,0.17838562731849522
2006-12-31,BA,0.7738123295511936,0.589912797548904,0.9085029153956057,9.929309981008652,10.601626016260163,0.33866857164922576,1.8159161011721159,201.00047560809892,0.0,0.0,0.14411600777333286
2006-09-30,BA,0.7544167228590695,0.527714093054619,0.820592925249764,4.573916198077272,13.897727272727273,0.23982231768036708,1.4441453566621802,252.74464119291707,0.0,0.0,0.16717263296597065
2006-06-30,BA,0.7632835919227855,0.6493065849721645,0.8307627021821802,4.908862956890732,-0.6067415730337079,0.2445935138487653,1.6545887331393812,220.5986253196931,0.0,0.0,0.06493065834790987
2006-03-31,BA,0.7745678508234654,0.6322648700149721,0.8124511464304325,4.331944082660415,10.677777777777777,0.2322824387701928,1.4952143700013112,244.11215363030516,0.0,0.0,0.14666665774521853
2005-12-31,BA,0.779338725698879,0.5701007520930893,0.8158613340437577,4.430689935798897,5.787671232876712,0.23650471211162544,1.5661209068010076,233.05991154000804,0.0,0.0,0.09342999081193047
2005-09-30,BA,0.7336115791085924,0.5395542962168786,0.8384203847868582,5.188899501220418,4.425287356321839,0.21655406564011112,1.5548931220008724,234.74282240718227,0.0,0.0,0.07727550029805888
